load,Elastic Modulus [GPA],Ultimate Tensile Strength [MPA],Yield Strength [MPA],Poissons Ratio,Nf(label)
1Cr18Ni9T-1-0.002.csv,193,605,310,0.3,5.301029996
1Cr18Ni9T-1-0.003.csv,193,605,310,0.3,4.093771781
1Cr18Ni9T-1-0.004.csv,193,605,310,0.3,3.740362689
1Cr18Ni9T-1-0.005.csv,193,605,310,0.3,3.491361694
1Cr18Ni9T-1-0.01.csv,193,605,310,0.3,2.977723605
1Cr18Ni9T-2-0.0025.csv,193,605,310,0.3,4.910496338
1Cr18Ni9T-2-0.004.csv,193,605,310,0.3,4.085932446
1Cr18Ni9T-2-0.006.csv,193,605,310,0.3,3.722880611
1Cr18Ni9T-2-0.01.csv,193,605,310,0.3,3.176091259
1Cr18Ni9T-2-0.015.csv,193,605,310,0.3,2.575187845
1Cr18Ni9T-3-0.002.csv,193,605,310,0.3,4.477526407
1Cr18Ni9T-3-0.0028.csv,193,605,310,0.3,3.56205483
1Cr18Ni9T-3-0.004.csv,193,605,310,0.3,2.810232518
1Cr18Ni9T-3-0.01.csv,193,605,310,0.3,2.264817823
16MnR-b-0.00106-0.00185.csv,212.5,544.5,324.4,0.31,5.695481676
16MnR-b-0.00136-0.00243.csv,212.5,544.5,324.4,0.31,4.863917377
16MnR-b-0.00707-0.001225.csv,212.5,544.5,324.4,0.31,2.84509804
16MnR-c-0.00133-0.00346.csv,212.5,544.5,324.4,0.31,4.808210973
16MnR-d-0.001-0.00260.csv,212.5,544.5,324.4,0.31,5.385266569
16MnR-d-0.00160-0.00416.csv,212.5,544.5,324.4,0.31,4.346939463
16MnR-d-0.00300-0.00780.csv,212.5,544.5,324.4,0.31,3.562292864
16MnR-a-0.00100-0.00173.csv,212.5,544.5,324.4,0.31,5.924031047
16MnR-a-0.00110-0.00191.csv,212.5,544.5,324.4,0.31,5.268577972
16MnR-a-0.00138-0.00242.csv,212.5,544.5,324.4,0.31,4.547774705
16MnR-a-0.00200-0.00346.csv,212.5,544.5,324.4,0.31,3.838849091
16MnR-a-0.00277-0.00484.csv,212.5,544.5,324.4,0.31,3.471291711
16MnR-a-0.00400-0.00692.csv,212.5,544.5,324.4,0.31,3.176091259
16MnR-a-0.00397-0.00693.csv,212.5,544.5,324.4,0.31,2.968482949
16MnR-a-0.006-0.01039.csv,212.5,544.5,324.4,0.31,2.591064607
45mild-0-0.01039.csv,206,610,370,0.3,3.569958818
45mild-0-0.01386.csv,206,610,370,0.3,3.22297645
45mild-0.00566-0.00979.csv,206,610,370,0.3,3.035429738
45mild-0.00566-0.00979-0.csv,206,610,370,0.3,3.106870544
45mild-0.008-0.00693-11.csv,206,610,370,0.3,2.643452676
45mild-0.008-0.00693-01.csv,206,610,370,0.3,2.662757832
45mild-0.008-0.00693-10.csv,206,610,370,0.3,2.653212514
45mild-0.004-0.01386-11.csv,206,610,370,0.3,2.820857989
45mild-0.004-0.01386-01.csv,206,610,370,0.3,2.826074803
45mild-0.004-0.01386-10.csv,206,610,370,0.3,2.819543936
45mild-0.00566-0.00979-11-45.csv,206,610,370,0.3,2.833147112
45mild-0.008-0.01386-11-45.csv,206,610,370,0.3,2.444044796
45mild-0.00566-0.00979-00-45.csv,206,610,370,0.3,2.822168079
45mild-0.00566-0.00979-11-60.csv,206,610,370,0.3,2.7355989
45mild-0.008-0.01386-11-90.csv,206,610,370,0.3,2.584331224
45mild-0.008-0.01386-01-90.csv,206,610,370,0.3,2.629409599
45mild-0.008-0.01386-10-90.csv,206,610,370,0.3,2.608526034
45mild-0.008-0.01386-00-90.csv,206,610,370,0.3,2.658011397
45mild-0.0048-0.csv,206,610,370,0.3,3.588943643
45mild-0.0059-0.csv,206,610,370,0.3,3.451786436
45mild-0.0069-0.csv,206,610,370,0.3,3.292699003
304SS-0.0025-0043.csv,183,650,325,0.10507,4.723865964
304SS-0.00145-0023.csv,183,650,325,0.10507,5.599883072
304SS-90-0.0035-0061.csv,183,650,325,0.10507,3.561697533
304SS-90-0.0020-0035.csv,183,650,325,0.10507,4.67669361
304SS-box-0.0025-0043.csv,183,650,325,0.10507,3.752432609
304SS-box-0.0014-0024.csv,183,650,325,0.10507,4.976148148
304SS-twobox-0.0025-0043.csv,183,650,325,0.10507,4.018700499
304SS-twobox-0.0014-0024.csv,183,650,325,0.10507,5.306425028
410-IP-0.002-0.005.csv,208,591,489,0.3,3.678108474
410-IP-0.0025-0.0025.csv,208,591,489,0.3,3.919051929
410-IP-0.0026-0.0042.csv,208,591,489,0.3,3.663135315
410-IP-0.0026-0.0048.csv,208,591,489,0.3,3.85554944
410-IP-0.0030-0.0042.csv,208,591,489,0.3,3.558588583
410-IP-0.0030-0.0048.csv,208,591,489,0.3,3.451325808
410-IP-0.0035-0.0030.csv,208,591,489,0.3,3.593784333
410-OP-0.002-0.005.csv,208,591,489,0.3,3.449940989
410-OP-0.0025-0.0025.csv,208,591,489,0.3,4.152609359
410-OP-0.0026-0.0042.csv,208,591,489,0.3,3.546172368
410-OP-0.0026-0.0048.csv,208,591,489,0.3,3.143639235
410-OP-0.0030-0.0042.csv,208,591,489,0.3,3.369215857
410-OP-0.0030-0.0048.csv,208,591,489,0.3,3.339451441
410-OP-0.0035-0.0030.csv,208,591,489,0.3,3.420863021
1045HR-0022-0.csv,205,652,382,0.29,4.936503689
1045HR-0043-0.csv,205,652,382,0.29,3.894260664
1045HR-0050-0.csv,205,652,382,0.29,3.695394108
1045HR-0055-0.csv,205,652,382,0.29,3.662757832
1045HR-0100-0.csv,205,652,382,0.29,3.049992857
1045HR-0021-0011.csv,205,652,382,0.29,5.013810134
1045HR-0041-0021.csv,205,652,382,0.29,4.071034675
1045HR-0096-0048.csv,205,652,382,0.29,3.099680641
1045HR-0013-0013.csv,205,652,382,0.29,5.694274307
1045HR-0019-0019.csv,205,652,382,0.29,5.054122569
1045HR-0037-0037.csv,205,652,382,0.29,4.041155733
1045HR-0087-0087.csv,205,652,382,0.29,3.152899596
1045HR-0010-0020.csv,205,652,382,0.29,5.737065358
1045HR-0014-0029.csv,205,652,382,0.29,4.999517665
1045HR-0026-0052.csv,205,652,382,0.29,4.26620817
1045HR-0065-0131.csv,205,652,382,0.29,3.245018871
1045HR-0-0026.csv,205,652,382,0.29,6.004411663
1045HR-0-0038.csv,205,652,382,0.29,4.901599975
1045HR-0-0072.csv,205,652,382,0.29,3.940018155
1045HR-0-0173.csv,205,652,382,0.29,2.948901761
1045HR-90-0041-0021.csv,205,652,382,0.29,3.720985744
1045HR-90-0021-0011.csv,205,652,382,0.29,4.767341422
1045HR-90-0037-0037.csv,205,652,382,0.29,3.70918513
1045HR-90-0019-0019.csv,205,652,382,0.29,4.755089368
1045HR-90-0013-0013.csv,205,652,382,0.29,6.143548748
1045HR-90-0026-0052.csv,205,652,382,0.29,3.721150844
1045HR-90-0014-0029.csv,205,652,382,0.29,4.566095579
1045HR-90-0010-0020.csv,205,652,382,0.29,5.787852792
2024-T3-0.0142.csv,73.4,495,330,0.343,2.824776462
2024-T3-0.02.csv,73.4,495,330,0.343,2.338456494
2024-T3-U-0.0053.csv,73.4,495,330,0.343,3.799960527
2024-T3-U-0.0087.csv,73.4,495,330,0.343,2.913283902
2024-T3-U-0.0120.csv,73.4,495,330,0.343,2.10720997
6061-T6-2-6.csv,69,310,276,0.3,3.521138084
6061-T6-2-29.csv,69,310,276,0.3,3.238046103
6061-T6-2-4.csv,69,310,276,0.3,2.995635195
6061-T6-2-2.csv,69,310,276,0.3,2.770852012
6061-T6-2-27.csv,69,310,276,0.3,2.602059991
6061-T6-1-22.csv,69,310,276,0.3,3.383815366
6061-T6-1-28.csv,69,310,276,0.3,3.152288344
6061-T6-1-30.csv,69,310,276,0.3,3.06069784
6061-T6-1-18.csv,69,310,276,0.3,2.838849091
